epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
191,37347.4,0.77839,0.91971,0.66549,0,0,0,0,0,0,0,0,0.00493333,0.00493333,0.00493333
192,37542.4,0.75926,0.92549,0.66466,0,0,0,0,0,0,0,0,0.00490667,0.00490667,0.00490667
193,37738.1,0.76232,0.92174,0.66446,0,0,0,0,0,0,0,0,0.00488,0.00488,0.00488
194,37933.1,0.77754,0.91975,0.66534,0,0,0,0,0,0,0,0,0.00485333,0.00485333,0.00485333
195,38128.7,0.75213,0.92491,0.66405,0,0,0,0,0,0,0,0,0.00482667,0.00482667,0.00482667
196,38324.2,0.74289,0.91993,0.6631,0,0,0,0,0,0,0,0,0.0048,0.0048,0.0048
197,38519,0.75025,0.91533,0.66298,0,0,0,0,0,0,0,0,0.00477333,0.00477333,0.00477333
198,38714.6,0.76403,0.91787,0.66328,0,0,0,0,0,0,0,0,0.00474667,0.00474667,0.00474667
199,38910.1,0.79134,0.9139,0.66507,0,0,0,0,0,0,0,0,0.00472,0.00472,0.00472
200,39105.1,0.75877,0.91702,0.66241,0,0,0,0,0,0,0,0,0.00469333,0.00469333,0.00469333
201,39300.8,0.76153,0.92039,0.66399,0,0,0,0,0,0,0,0,0.00466667,0.00466667,0.00466667
202,39495.9,0.76867,0.9116,0.66153,0,0,0,0,0,0,0,0,0.00464,0.00464,0.00464
203,39691.7,0.74854,0.90712,0.66164,0,0,0,0,0,0,0,0,0.00461333,0.00461333,0.00461333
204,39887,0.77878,0.90657,0.66276,0,0,0,0,0,0,0,0,0.00458667,0.00458667,0.00458667
205,40082.6,0.76791,0.91203,0.66104,0,0,0,0,0,0,0,0,0.00456,0.00456,0.00456
206,40278,0.74998,0.90652,0.66232,0,0,0,0,0,0,0,0,0.00453333,0.00453333,0.00453333
207,40473.4,0.78046,0.91447,0.66404,0,0,0,0,0,0,0,0,0.00450667,0.00450667,0.00450667
208,40668.6,0.73123,0.90981,0.66024,0,0,0,0,0,0,0,0,0.00448,0.00448,0.00448
209,40863.9,0.7541,0.90093,0.65852,0,0,0,0,0,0,0,0,0.00445333,0.00445333,0.00445333
210,41059.7,0.7759,0.89556,0.65854,0,0,0,0,0,0,0,0,0.00442667,0.00442667,0.00442667
211,41254.9,0.78382,0.90332,0.66026,0,0,0,0,0,0,0,0,0.0044,0.0044,0.0044
212,41450.4,0.79326,0.90651,0.66029,0,0,0,0,0,0,0,0,0.00437333,0.00437333,0.00437333
213,41645.6,0.78715,0.89801,0.6633,0,0,0,0,0,0,0,0,0.00434667,0.00434667,0.00434667
214,41841.1,0.7783,0.8933,0.66162,0,0,0,0,0,0,0,0,0.00432,0.00432,0.00432
215,42036.8,0.76664,0.89005,0.65997,0,0,0,0,0,0,0,0,0.00429333,0.00429333,0.00429333
216,42232.2,0.76778,0.90033,0.6615,0,0,0,0,0,0,0,0,0.00426667,0.00426667,0.00426667
217,42427.5,0.73267,0.89548,0.65823,0,0,0,0,0,0,0,0,0.00424,0.00424,0.00424
218,42623.2,0.76976,0.89603,0.66094,0,0,0,0,0,0,0,0,0.00421333,0.00421333,0.00421333
219,42818.5,0.79619,0.88576,0.66409,0,0,0,0,0,0,0,0,0.00418667,0.00418667,0.00418667
220,43013.8,0.75272,0.88923,0.65818,0,0,0,0,0,0,0,0,0.00416,0.00416,0.00416
221,43209.4,0.78208,0.88757,0.6584,0,0,0,0,0,0,0,0,0.00413333,0.00413333,0.00413333
222,43404.7,0.72261,0.88649,0.65779,0,0,0,0,0,0,0,0,0.00410667,0.00410667,0.00410667
223,43600.5,0.74991,0.88578,0.65987,0,0,0,0,0,0,0,0,0.00408,0.00408,0.00408
224,43795.6,0.78478,0.89586,0.65904,0,0,0,0,0,0,0,0,0.00405333,0.00405333,0.00405333
225,43991,0.74339,0.88826,0.65917,0,0,0,0,0,0,0,0,0.00402667,0.00402667,0.00402667
226,44186.1,0.74443,0.88624,0.65789,0,0,0,0,0,0,0,0,0.004,0.004,0.004
227,44381.9,0.78876,0.88473,0.66001,0,0,0,0,0,0,0,0,0.00397333,0.00397333,0.00397333
228,44576.9,0.7717,0.88494,0.65844,0,0,0,0,0,0,0,0,0.00394667,0.00394667,0.00394667
229,44772.4,0.75887,0.88177,0.65621,0,0,0,0,0,0,0,0,0.00392,0.00392,0.00392
230,44967.3,0.78052,0.87737,0.65854,0,0,0,0,0,0,0,0,0.00389333,0.00389333,0.00389333
231,45162.7,0.76999,0.87679,0.65715,0,0,0,0,0,0,0,0,0.00386667,0.00386667,0.00386667
232,45358.2,0.75364,0.8726,0.65559,0,0,0,0,0,0,0,0,0.00384,0.00384,0.00384
233,45553.5,0.77722,0.87786,0.65566,0,0,0,0,0,0,0,0,0.00381333,0.00381333,0.00381333
234,45749.2,0.76018,0.87789,0.65907,0,0,0,0,0,0,0,0,0.00378667,0.00378667,0.00378667
235,45944,0.74692,0.87599,0.65638,0,0,0,0,0,0,0,0,0.00376,0.00376,0.00376
236,46139.6,0.74949,0.88106,0.6576,0,0,0,0,0,0,0,0,0.00373333,0.00373333,0.00373333
237,46335.1,0.72667,0.87757,0.65568,0,0,0,0,0,0,0,0,0.00370667,0.00370667,0.00370667
238,46530.4,0.76086,0.87281,0.65455,0,0,0,0,0,0,0,0,0.00368,0.00368,0.00368
239,46725.8,0.77662,0.86944,0.6562,0,0,0,0,0,0,0,0,0.00365333,0.00365333,0.00365333
